trip_id,date,hour,city,service,payment_method,fare,distance_km,duration_minute,rating,available_fleet,demand_city_hour,status,customer_id,driver_id,vehicle_id
TRIP00001,2025-02-21,18,Bandung,Bluebird,Cash,16025.0,1.17,13.5,4.9,252,1,Completed,CUST0055,DRV0839,VH0011
TRIP00002,2025-01-15,10,Surabaya,Bluebird,Debit/Credit,65388.0,15.08,71.8,4.2,239,1,Completed,CUST0448,DRV0393,VH1044
TRIP00003,2025-03-13,15,Jakarta,Bluebird Van,Cash,88084.0,15.31,53.9,4.3,679,1,Completed,CUST0297,DRV0109,VH0279
TRIP00004,2025-03-02,19,Medan,Bluebird,Debit/Credit,41870.0,8.07,41.7,4.3,165,2,Completed,CUST0622,DRV0359,VH0895
TRIP00005,2025-01-21,14,Surabaya,Bluebird,QRIS,16716.0,4.19,19.8,4.7,235,1,Completed,CUST0373,DRV0956,VH0333
TRIP00006,2025-03-24,12,Medan,Bluebird Van,QRIS,55307.0,10.39,45.2,4.3,205,1,Completed,CUST0735,DRV0935,VH1425
TRIP00007,2025-03-28,15,Surabaya,Bluebird,E-Wallet,62995.0,7.68,27.6,4.7,289,3,Completed,CUST0469,DRV0318,VH0778
TRIP00008,2025-03-16,19,Jakarta,Bluebird,E-Wallet,47114.0,8.16,55.2,4.4,615,2,Completed,CUST0760,DRV0341,VH0744
TRIP00009,2025-03-16,11,Jakarta,Bluebird,Cash,48743.0,11.18,35.7,4.6,690,1,Completed,CUST0136,DRV0349,VH0038
TRIP00010,2025-03-29,8,Jakarta,Golden Bird,Debit/Credit,90419.0,9.5,56.2,4.8,625,1,Completed,CUST0246,DRV0027,VH0974
TRIP00011,2025-01-24,18,Semarang,Bluebird,QRIS,11149.0,3.24,29.5,4.6,127,2,Completed,CUST0070,DRV0638,VH1107
TRIP00012,2025-01-03,19,Surabaya,Bluebird Van,QRIS,38076.0,7.03,49.4,4.7,190,1,Completed,CUST0481,DRV0401,VH0032
TRIP00013,2025-01-22,7,Surabaya,Silver Bird,E-Wallet,67245.0,9.98,36.8,4.6,191,1,Completed,CUST0530,DRV0316,VH1078
TRIP00014,2025-02-22,9,Jakarta,Bluebird,QRIS,68674.0,10.03,42.0,4.4,619,1,Completed,CUST0490,DRV0368,VH0737
TRIP00015,2025-01-02,7,Jakarta,Bluebird,E-Wallet,46418.0,9.29,55.6,4.3,594,2,Completed,CUST0503,DRV0343,VH0619
TRIP00016,2025-03-29,11,Surabaya,Bluebird,Cash,31023.0,10.8,30.1,4.6,239,1,Completed,CUST0698,DRV0693,VH0985
TRIP00017,2025-01-30,14,Bandung,Bluebird,Debit/Credit,46514.0,5.91,12.4,4.8,337,1,Completed,CUST0117,DRV0904,VH0910
TRIP00018,2025-02-07,18,Jakarta,Silver Bird,Debit/Credit,66351.0,9.04,40.7,4.3,620,1,Completed,CUST0257,DRV1097,VH0045
TRIP00019,2025-01-02,17,Bandung,Bluebird Van,Cash,10000.0,1.0,13.3,4.3,220,2,Completed,CUST0790,DRV1146,VH0630
TRIP00020,2025-03-05,17,Jakarta,Bluebird,QRIS,36578.0,7.15,47.7,4.6,627,3,Completed,CUST0607,DRV0186,VH0294
TRIP00021,2025-03-01,11,Jakarta,Bluebird,E-Wallet,60607.0,10.79,41.9,4.7,676,2,Completed,CUST0428,DRV0836,VH1149
