date,city,hour,demand,avg_fare,avg_duration,avg_rating,available_fleet,day_of_week,month,is_peak
2025-01-01,Bandung,6,1,69690.0,43.6,4.3,255.0,2,1,1
2025-01-01,Bandung,8,1,10000.0,8.0,4.6,232.0,2,1,1
2025-01-01,Bandung,10,2,41963.0,39.55,4.6,341.0,2,1,0
2025-01-01,Bandung,14,1,27035.0,31.5,4.5,303.0,2,1,0
2025-01-01,Bandung,17,1,45048.0,37.7,4.6,247.0,2,1,1
2025-01-01,Bandung,18,1,77933.0,32.2,4.3,233.0,2,1,1
2025-01-01,Bandung,23,1,28405.0,5.0,4.6,330.0,2,1,0
2025-01-01,Jakarta,0,1,61827.0,51.3,4.1,697.0,2,1,0
2025-01-01,Jakarta,5,2,26647.0,29.6,4.6,700.0,2,1,0
2025-01-01,Jakarta,6,1,45154.0,31.3,4.8,649.0,2,1,1
2025-01-01,Jakarta,9,2,54943.5,50.4,4.45,634.5,2,1,1
2025-01-01,Jakarta,12,1,104819.0,37.9,4.7,672.0,2,1,0
2025-01-01,Jakarta,13,2,99280.5,47.15,4.85,686.0,2,1,0
2025-01-01,Jakarta,15,1,33783.0,22.2,5.0,674.0,2,1,0
2025-01-01,Jakarta,16,3,58583.333333333336,53.06666666666666,4.466666666666667,634.0,2,1,1
2025-01-01,Jakarta,17,2,39579.0,32.5,4.6,634.0,2,1,1
2025-01-01,Jakarta,18,1,45377.0,33.5,4.7,617.0,2,1,1
2025-01-01,Jakarta,20,2,55672.0,31.200000000000003,4.35,700.0,2,1,0
2025-01-01,Medan,6,1,56063.0,45.2,4.0,151.0,2,1,1
2025-01-01,Medan,7,1,57567.0,39.8,4.6,112.0,2,1,1
2025-01-01,Medan,11,1,48726.0,34.6,4.9,214.0,2,1,0
2025-01-01,Medan,18,1,68647.0,60.0,4.4,157.0,2,1,1
2025-01-01,Medan,20,1,49686.0,21.7,5.0,209.0,2,1,0
2025-01-01,Medan,22,1,11717.0,16.4,4.9,230.0,2,1,0
2025-01-01,Semarang,9,1,37325.0,31.8,4.4,97.0,2,1,1
2025-01-01,Semarang,17,1,39155.0,34.9,4.4,85.0,2,1,1
2025-01-01,Semarang,21,1,24372.0,5.0,5.0,190.0,2,1,0
2025-01-01,Semarang,23,1,44808.0,30.3,5.0,201.0,2,1,0
2025-01-02,Bandung,0,1,76149.0,50.8,4.6,338.0,3,1,0
2025-01-02,Bandung,8,1,97633.0,54.7,4.1,215.0,3,1,1
2025-01-02,Bandung,9,2,31669.0,21.95,4.550000000000001,233.0,3,1,1
2025-01-02,Bandung,13,2,37359.0,13.35,4.6,311.0,3,1,0
2025-01-02,Bandung,17,2,10000.0,22.0,4.35,230.0,3,1,1
2025-01-02,Bandung,19,2,21774.0,27.950000000000003,4.7,221.0,3,1,1
2025-01-02,Bandung,20,2,39828.0,28.2,4.55,320.0,3,1,0
